Sample;Frequency (GHz);LG (mV) mean;HG (mV) mean;LG (mV) std deviation;HG (mV) std deviation;LG (mV) variance;HG (mV) variance;Thickness (mm)
D1;500;0.00467922;10.28222784;0.930012882;8.355944615;0.864923961;69.8218104;3
D1;510;0.015593562;8.115366592;0.915216575;8.343216498;0.837621379;69.60926153;3
D1;520;0.040746809;11.95849116;0.893703252;8.433953895;0.798705502;71.1315783;3
D1;530;0.037130822;10.60868415;0.911509779;8.599865508;0.830850077;73.95768676;3
D1;540;-0.01560546;5.985761576;0.898842021;8.401162718;0.807916979;70.57953501;3
D1;550;0.012496291;6.653151393;0.922695528;8.562515995;0.851367037;73.31668017;3
D1;560;0.006606688;6.152762458;0.900547124;8.566353639;0.810985122;73.38241466;3
D1;570;-0.012204568;6.471622247;0.888376056;8.711514849;0.789212018;75.89049096;3
D1;580;0.014259298;7.66449209;0.881819139;8.626106601;0.777604994;74.4097151;3
D1;590;-0.00496859;6.753567899;0.889270069;8.510690025;0.790801256;72.43184471;3
D1;600;0.004827795;6.413589938;0.876422924;8.717783795;0.768117142;75.99975429;3
E1;100;62.17325496;-0.001712511;29.16045928;0.727948239;850.3323855;0.529908639;0.1
E1;110;37.04553111;-0.014663256;26.65039512;0.742691915;710.2435602;0.55159128;0.1
E1;120;60.48265854;-0.023133881;15.69476054;0.752173726;246.3255085;0.565765314;0.1
E1;130;29.26115949;-0.005910727;8.746523588;0.764749622;76.50167487;0.584841984;0.1
E1;140;70.45142008;0.018196369;12.68937821;0.764004709;161.0203194;0.583703195;0.1
E1;150;60.71197484;0.022141033;8.063024106;0.763107046;65.01235774;0.582332363;0.1
E1;160;25.09673264;-0.021251037;4.654642834;0.76700145;21.66569991;0.588291224;0.1
E1;170;14.31469698;-0.018920957;3.6213074;0.77587398;13.11386728;0.601980433;0.1
E1;180;17.19954301;4.17E-05;2.944855372;0.769274885;8.67217316;0.591783848;0.1
E1;190;12.98280191;0.005948614;3.059200201;0.774484972;9.358705872;0.599826972;0.1
E1;200;2.48256492;0.105482289;1.809160837;0.788061175;3.273062935;0.621040415;0.1
E1;210;6.606690646;0.142325604;3.610319353;0.782121773;13.03440583;0.611714468;0.1
E1;220;4.215510594;0.246967938;1.199080583;0.779623865;1.437794246;0.60781337;0.1
E1;230;2.72411923;0.036013895;0.983008006;0.785756238;0.96630474;0.617412866;0.1
E1;240;4.997072648;0.208860685;1.148240682;0.762550728;1.318456664;0.581483612;0.1
E1;250;1.99398153;-0.009000597;0.979687719;0.771716582;0.959788027;0.595546484;0.1
E1;260;4.85604392;0.153785656;1.270932256;0.774854043;1.615268799;0.600398788;0.1
E1;270;2.897462761;0.16235575;1.080573946;0.747679928;1.167640052;0.559025274;0.1
E1;280;2.305856849;0.027247448;1.053306599;0.779975623;1.109454792;0.608361973;0.1
E1;290;0.899554718;746.9854183;1.037361499;39.83367372;1.07611888;1586.721562;0.1
E1;300;2.114497202;0.034186682;0.970487962;0.767332862;0.941846884;0.588799721;0.1
E1;310;1.375159126;0.673040417;1.030373174;0.912071165;1.061668878;0.83187381;0.1
E1;320;1.465816591;0.047006935;0.965958926;0.773323436;0.933076647;0.598029136;0.1
E1;330;1.331626662;0.546447616;0.925885257;1.24886248;0.857263509;1.559657494;0.1
E1;340;0.806415169;668.8839417;0.916973586;41.86612302;0.840840557;1752.772257;0.1
E1;350;0.496977845;438.881248;0.995793785;17.82309405;0.991605263;317.6626815;0.1
E1;360;0.993464495;600.4362224;1.001925452;21.51318246;1.003854612;462.8170195;0.1
E1;370;0.332578296;281.1319346;0.988062894;11.98683264;0.976268283;143.6841568;0.1
E1;380;0.516160689;398.1849897;1.01944582;14.24303272;1.039269779;202.863981;0.1
E1;390;0.510856869;427.404246;0.970371458;13.7400551;0.941620767;188.7891142;0.1
E1;400;0.290414233;233.2760628;0.955806188;12.24673851;0.91356547;149.9826042;0.1
E1;410;0.223634907;179.5809966;0.956627188;10.47640607;0.915135577;109.7550841;0.1
E1;420;0.143648013;112.1689521;0.959190638;8.238514992;0.92004668;67.87312927;0.1
E1;430;0.223238181;160.4585507;0.948188934;10.45550485;0.899062254;109.3175816;0.1
E1;440;0.166695509;151.1996768;0.944843598;9.041614298;0.892729425;81.75078912;0.1
E1;450;0.109365561;97.05692647;0.951464978;8.083242725;0.905285604;65.33881296;0.1
E1;460;0.056263326;28.20432657;0.93759155;7.694478388;0.879077916;59.20499766;0.1
E1;470;0.107267042;87.6133875;0.93490161;8.09268866;0.87404102;65.49160974;0.1
E1;480;0.010879651;22.63907481;0.928918129;7.710099247;0.862888891;59.4456304;0.1
E1;490;0.068076242;46.02686593;0.938963468;8.080654589;0.881652394;65.29697859;0.1
E1;500;0.044086331;27.85035804;0.923569148;7.761405252;0.852979971;60.23941148;0.1
E1;510;0.002767578;16.51771622;0.923669149;7.552564536;0.853164697;57.04123107;0.1
E1;520;0.053798932;30.49922;0.904387021;7.831872529;0.817915884;61.33822731;0.1
E1;530;0.032389157;27.15580407;0.9118705;7.834887717;0.831507809;61.38546554;0.1
