Sample;Frequency (GHz);HG (mV) mean;HG (mV) std;LG (mV) mean;LG (mV) std;Thickness (mm);HG (mV) mean Transmittance;LG (mV) mean Transmittance
H1;550.0;63.209546438769415;7.5090223093462845;0.083432188172043;0.8882910515391214;0.07;4.570222268600225;3.7938196302610168
H1;560.0;39.50072789213618;6.994802376855354;0.0217759752937631;0.8889767020069511;0.07;2.6920202796322763;1.0467081745128781
H1;570.0;38.65728016876498;7.137048882089365;0.0645924463429256;0.8895632044802464;0.07;3.7746240010994447;-11.465571629823241
H1;580.0;40.407849428226776;7.6309056547674;0.0658656236429433;0.8704042654549456;0.07;2.1150252967998435;1.40198550048513
H1;590.0;34.313150191431994;7.74753968863711;0.0699301728579988;0.8811063649285443;0.07;2.6732373549403103;1.6375115486274703
H1;600.0;26.00143627767695;7.313889481466708;0.0355066238656987;0.8446007197374291;0.07;1.9198299298437351;10.29338734637852
I1;100.0;-0.0188766364465705;0.7381732964956935;56.003975862972666;21.826616206818542;0.36;2.2674206911158956;1.4212008203518756
I1;110.0;-0.0057075230040147;0.7098380890078045;51.32492809314056;18.900700306254837;0.36;0.35285225505988765;1.3602507243294617
I1;120.0;-0.0171868383994954;0.7100780884692148;106.1476059;33.033293194303305;0.36;-7.59339823929041;1.1999348717275748
I1;130.0;0.0090370921061072;0.7435989406277745;34.9161516188193;7.950942429110939;0.36;-0.2650424389399087;1.092861653527503
I1;140.0;-0.0262073324628533;0.7585779529711996;78.84337828295725;12.264749569767211;0.36;-1.8774504744497411;1.0272238407030942
I1;150.0;-0.0203660751917158;0.7781767934468048;41.57214273339292;6.440040014260746;0.36;1.064786849133268;0.5855132723383983
I1;160.0;-0.0184884090203164;0.7513844713795484;23.27270600088731;3.5859080080161;0.36;0.4631389737319978;0.7774245270793833
I1;170.0;-0.008849522672355;0.7775658192275567;19.77404813017752;1.7912535073300042;0.36;0.7713837726227001;1.6882250382842299
I1;180.0;-0.0163895473867419;0.7627286861196638;17.66874355895456;2.669858032062016;0.36;-5.146571075757208;1.0348763481246206
I1;190.0;0.0016589915627596;0.7632672919545876;10.109149647342996;2.6187591631833103;0.36;-0.12027093528342596;0.7828499123709681
I1;200.0;0.0325124538152728;0.7575427060631155;7.831954742289443;3.657626211823814;0.36;1.5686253206284941;1.0995547147850986
I1;210.0;0.2473268749330174;0.7670161433778743;4.104396752754959;1.1922227036244788;0.36;2.769453878007285;0.6858535123093924
I1;220.0;4.187258432943709;62.84506854539516;4.3969043831747;1.131067885342106;0.36;65.76249520860529;0.7340534615295212
I1;230.0;406.133310336102;50.8880518990874;0.4883046235538416;1.018648025841708;0.36;35474.22078985641;0.22952438794570817
I1;240.0;0.0762985134122591;3.556465612803459;6.721274208419804;1.5880268291086148;0.36;9.875642115804727;1.035376254512922
I1;250.0;731.1525817399352;97.84194734191084;0.8765203529237162;1.1355055622921182;0.36;7627.825769232269;0.34648471227189453
I1;260.0;0.1262567503502822;0.7592577960255903;4.96153436838978;1.1334143215009185;0.36;-10.10875547165536;0.775532770137585
I1;270.0;0.2184140564722789;0.7656445912234832;3.715701502373887;1.053494033358048;0.36;0.9962109832088984;1.0279829615562384
I1;280.0;0.3094859678308392;9.639323854935908;2.339532106465006;1.0629513409356317;0.36;1.7084307333301485;0.6828047083833636
I1;290.0;18.52969184047578;30.21180030388796;1.4650952152426318;1.005302137891881;0.36;0.02852329056640512;1.5073064510766434
I1;300.0;3.18922860614013;47.09730834129692;2.967865178539758;1.1465325990894102;0.36;18.17527033681542;1.1605524161353316
I1;310.0;0.1521455434225659;0.9234504492091444;1.415284108148148;0.9968115844681612;0.36;-6.396021110245497;0.9564573944501266
I1;320.0;141.8019677968518;103.42327747230648;1.319731337986338;1.127755940103976;0.36;28.95078678899797;0.7922114373058343
I1;330.0;5.019417260506456;35.7283274356413;1.3377283674074074;1.053458690148284;0.36;1.897881834591046;0.8846320235660261
I1;340.0;416.7256768202248;22.952964771432825;0.4980513486102897;0.99870729635359;0.36;0.8913388061125156;0.5328252301921039
I1;350.0;430.2884806011887;35.87867981589188;0.5091297937592868;1.0209726801117835;0.36;0.634952088172757;0.6280077761896029
I1;360.0;481.10966446375073;47.00958149934327;0.5770336731575794;1.1894068474318085;0.36;67.85066465105724;0.5175765029166706
I1;370.0;399.1512000883595;33.43441652740005;0.5218075099517491;1.0689926960116232;0.36;0.9817770452089176;1.083497677029381
I1;380.0;177.9124015801301;27.793362302762585;0.2205619887640449;1.0053196517865142;0.36;0.3759749722089054;0.38014593859514034
I1;390.0;548.2818656510246;19.86118702838702;0.7049904175824176;0.9565943531879898;0.36;0.8180162875708077;0.9334335899783464
I1;400.0;253.3243163134284;23.7471031594517;0.300098944741533;1.0583411853058309;0.36;0.7551503076835292;0.7227407878844269
I1;410.0;225.0870992942925;13.128886085455033;0.2623525523186683;0.9420297493647884;0.36;0.9512829559973673;0.9590173996876521
I1;420.0;117.47872222906186;19.520515024106057;0.1570234746966558;0.9673904373282072;0.36;0.779973210565856;0.8648015402170459
I1;430.0;233.7027683170149;14.841712560217452;0.3014593588059701;0.9844256065595696;0.36;1.1279636663386217;1.2266877429385814
I1;440.0;99.3735668744076;12.355599539470026;0.1121404739336492;0.93244024493641;0.36;0.43557408383871044;0.4392959815174098
I1;450.0;146.42570247778437;15.489128613765144;0.1584286946090047;0.9607480483843944;0.36;0.9496186783575922;0.9458698499512586
I1;460.0;81.27069314995565;13.467165347614518;0.0877814670215912;0.89091240537915;0.36;2.6745424387549215;5.732653868493086
I1;470.0;91.10987074220375;9.865807147747615;0.1075089506979507;0.965124748320534;0.36;0.798331791390538;0.9090623757109277
I1;480.0;88.99818463345302;8.861269013781332;0.06622994823459;0.902586506465545;0.36;2.860174920786092;1.9266031775913166
I1;490.0;72.52455463226572;7.679484653790124;0.0652062381376038;0.9231660691742992;0.36;0.9366949415225189;0.5857327386561999
I1;500.0;60.45485261072112;7.9136824674271375;0.0784165634971282;0.9149550169108194;0.36;1.4822166597284712;2.3529115287873643
I1;510.0;51.80533073906619;7.545567982599714;0.047297192966903;0.9228889429788112;0.36;2.538162942526207;1.0617690910541102
I1;520.0;33.323329396039604;7.245739017684619;0.0287173186318631;0.8804085639890065;0.36;0.9506553159314006;0.6288629161071041
I1;530.0;38.18658034614248;7.633240025901371;0.0455067785988767;0.8897129813669161;0.36;1.391394559744757;2.0588399414546723
I1;540.0;37.423780209887504;7.290774591916384;0.0610787498519834;0.8827233492394042;0.36;3.4199529646302;2.245588421275625
I1;550.0;30.849001997910445;7.109095660558377;0.0084913089552238;0.8778903870267235;0.36;2.2304668177221605;0.3861159021085565
I1;560.0;33.439393824344684;7.187410031708723;0.0225116523049111;0.858223967432911;0.36;2.278933354331106;1.0820700414778155
I1;570.0;37.1134630437644;7.594541114534925;0.0316160125041131;0.8765634093827376;0.36;3.623880618536178;-5.612044078510084
I1;580.0;22.17674768348329;7.20751694654685;0.0334635758354755;0.8573228494543804;0.36;1.1607740331399468;0.7122903499714702
I1;590.0;38.421099285843376;7.876062042183377;0.0356327078313253;0.8585943808273211;0.36;2.9932756758204437;0.8343890512203929
I1;600.0;17.108683870802057;7.389011536944317;0.0300992412748584;0.8473876861808772;0.36;1.2632288080024132;8.725784530968243
J1;100.0;-0.0103345563439565;0.7049698625072555;44.7895257944186;19.43585440142595;0.07;1.2413645277385883;1.1366141389308932
J1;110.0;0.0213918257089911;0.7157424590435898;39.83413666784661;17.546738822573012;0.07;-1.3224920751009117;1.0557133788311868
J1;120.0;-0.0034500136407319;0.6972889085913927;109.41025920232074;44.56851330249072;0.07;-1.5242668195350373;1.2368172058943956
J1;130.0;-0.0130987087007583;0.7278373170337414;47.94898561522634;6.499581906111618;0.07;0.3841626997102557;1.5007841722218611
J1;140.0;-0.0274775134962852;0.7482733854208156;74.58056022769954;8.637522752554043;0.07;-1.9684441681892277;0.971685018923728
J1;150.0;-0.016844144764154;0.7342291887937089;66.27615286797501;13.511376046760104;0.07;0.8806519499183458;0.9334512149780846
J1;160.0;-0.0044599453671712;0.7417643505368087;37.73082416452367;4.184840781069641;0.07;0.11172267543316708;1.260397829599266
J1;170.0;-0.0109299046204255;0.7257132064867103;20.452193729380685;3.60664516632152;0.07;0.9527238216868072;1.7461222565290795
