Frequency (GHz);LG (mV);HG (mV)
100.0;-0.24417;48.223659
100.0;-0.366256;30.765474
100.0;0.0;37.724331
100.0;1.098767;26.004151
100.0;0.732511;38.823098
100.0;-0.24417;33.695519
100.0;-3.174216;41.020632
100.0;-0.854596;37.358075
100.0;1.220852;50.909534
100.0;-1.220852;38.701013
100.0;0.0;37.480161
100.0;0.488341;47.491148
100.0;-1.098767;28.201684
100.0;0.366256;35.038456
100.0;-0.488341;14.772311
100.0;1.098767;41.753143
100.0;0.0;20.632401
100.0;-0.854596;42.60774
100.0;1.342937;17.458186
100.0;-0.24417;37.23599
100.0;0.122085;20.510316
100.0;0.976682;34.794286
100.0;-0.610426;46.880722
100.0;0.122085;32.108411
100.0;0.976682;39.067268
100.0;-0.488341;16.115248
100.0;-0.610426;31.742156
100.0;1.220852;24.661213
100.0;-0.24417;42.85191
100.0;0.732511;55.548772
100.0;-0.24417;21.731168
100.0;-0.24417;41.508973
100.0;0.732511;29.056281
100.0;-0.488341;37.480161
100.0;0.366256;24.417043
100.0;-0.366256;33.207178
100.0;0.122085;27.591258
100.0;-0.122085;46.148211
100.0;0.610426;36.99182
100.0;0.122085;28.81211
100.0;0.488341;42.119399
100.0;0.488341;13.795629
100.0;-1.098767;38.823098
100.0;-0.24417;42.485654
100.0;1.098767;31.742156
100.0;0.488341;39.433524
100.0;-0.488341;23.684531
100.0;-0.24417;42.241484
100.0;1.342937;7.813454
100.0;0.0;47.491148
100.0;0.0;47.124892
100.0;-0.24417;33.695519
100.0;-0.610426;38.456842
100.0;1.220852;25.882065
100.0;1.831278;30.399218
100.0;-0.732511;19.045293
100.0;1.709193;42.85191
100.0;0.24417;35.893053
100.0;0.24417;43.340251
100.0;0.366256;40.776461
100.0;0.0;21.364912
100.0;0.854596;28.56794
100.0;0.24417;25.271639
100.0;1.220852;44.805273
100.0;1.342937;12.330607
100.0;1.342937;38.334757
100.0;-1.220852;29.544622
100.0;0.24417;39.067268
100.0;-1.220852;44.439018
100.0;0.24417;29.422536
100.0;-0.488341;32.108411
100.0;0.976682;20.388231
100.0;-0.122085;38.212672
100.0;0.122085;23.318276
100.0;0.0;39.555609
100.0;-0.732511;39.921865
100.0;0.610426;29.910877
100.0;-0.610426;37.602246
100.0;-0.122085;18.679038
100.0;0.24417;38.701013
100.0;-1.831278;44.805273
100.0;0.24417;32.718837
100.0;-1.709193;36.99182
100.0;0.122085;26.736662
100.0;0.366256;41.875228
100.0;0.366256;15.993163
100.0;0.610426;46.880722
100.0;-0.732511;47.246978
100.0;-1.220852;30.765474
100.0;0.0;34.18386
100.0;0.854596;23.684531
100.0;0.488341;39.433524
100.0;0.0;25.882065
100.0;-1.342937;33.085093
100.0;-0.976682;45.65987
100.0;1.465023;26.614577
100.0;0.122085;35.282627
100.0;0.24417;16.115248
100.0;2.685875;38.945183
100.0;0.366256;45.293614
100.0;0.854596;31.3759
100.0;0.854596;42.60774
100.0;-0.24417;26.736662
100.0;0.0;39.921865
100.0;0.732511;21.975338
100.0;0.366256;37.846416
100.0;0.488341;25.51581
100.0;0.24417;47.979489
100.0;0.854596;34.794286
100.0;1.220852;28.32377
100.0;-0.732511;36.503479
100.0;-0.976682;21.242827
100.0;-0.488341;37.846416
100.0;-1.465023;32.963008
100.0;0.0;39.921865
100.0;-0.122085;45.537785
100.0;0.122085;34.305945
100.0;-0.366256;41.753143
100.0;1.098767;20.021975
100.0;0.122085;38.090587
100.0;0.24417;28.56794
100.0;0.976682;46.270296
100.0;0.366256;45.65987
100.0;-0.610426;38.212672
100.0;0.0;45.171529
100.0;-0.854596;29.178366
100.0;-0.122085;31.986326
100.0;-0.24417;23.074105
100.0;-1.342937;31.742156
100.0;0.732511;34.42803
100.0;0.976682;37.23599
100.0;-0.122085;50.543278
100.0;1.831278;33.817604
