Frequency (GHz);LG (mV);HG (mV)
100.0;-0.366256;39.433524
100.0;-0.610426;31.986326
100.0;-0.122085;35.038456
100.0;-0.854596;17.214015
100.0;0.610426;36.747649
100.0;0.366256;18.556952
100.0;-0.732511;49.932852
100.0;0.976682;35.038456
100.0;0.488341;40.166035
100.0;0.122085;53.595409
100.0;-0.366256;34.794286
100.0;-0.24417;36.259308
100.0;-0.610426;31.986326
100.0;0.0;39.921865
100.0;1.220852;29.056281
100.0;1.220852;43.584421
100.0;-0.976682;24.172872
100.0;0.732511;48.956171
100.0;-0.24417;29.422536
100.0;0.122085;41.997313
100.0;0.488341;30.887559
100.0;-0.854596;36.259308
100.0;0.24417;49.322426
100.0;-1.342937;40.166035
100.0;1.220852;44.683188
100.0;-0.488341;17.946526
100.0;0.488341;38.701013
100.0;-0.854596;22.829935
100.0;0.122085;39.189354
100.0;-0.854596;17.3361
100.0;-1.709193;43.828592
100.0;0.854596;24.172872
100.0;0.610426;39.555609
100.0;-0.122085;31.986326
100.0;0.122085;40.166035
100.0;-2.075449;51.397875
100.0;-1.587108;34.794286
100.0;0.732511;47.369063
100.0;0.976682;33.939689
100.0;-0.854596;44.683188
100.0;0.488341;29.178366
100.0;0.122085;34.42803
100.0;0.976682;21.242827
100.0;-0.24417;38.090587
100.0;0.24417;20.388231
100.0;-0.732511;35.038456
100.0;-1.709193;30.399218
100.0;0.0;40.776461
100.0;0.488341;21.609083
100.0;0.610426;50.421193
100.0;0.366256;44.072762
100.0;1.465023;40.166035
100.0;-0.24417;48.589915
100.0;-0.610426;32.352582
100.0;-0.976682;34.916371
100.0;-1.098767;31.497985
100.0;0.488341;37.113905
100.0;-0.854596;13.917714
100.0;0.976682;42.119399
100.0;-0.122085;20.632401
100.0;-0.488341;51.886216
100.0;-0.732511;42.85191
100.0;0.610426;46.636552
100.0;-0.732511;51.27579
100.0;-0.366256;28.690025
100.0;-0.24417;44.927359
100.0;0.610426;26.858747
100.0;1.709193;55.182517
100.0;-0.24417;23.806617
100.0;0.854596;38.578928
100.0;-0.122085;26.614577
100.0;0.854596;38.945183
100.0;1.465023;18.923208
100.0;-0.854596;49.566597
100.0;-0.122085;26.248321
100.0;-0.24417;45.049444
100.0;0.122085;45.90404
100.0;-0.610426;34.794286
100.0;-0.610426;43.706506
100.0;0.488341;36.137223
100.0;0.24417;41.386887
100.0;-0.366256;28.445855
100.0;0.0;36.503479
100.0;0.0;23.684531
100.0;-1.953363;31.253815
100.0;1.465023;24.294958
100.0;-0.732511;38.090587
100.0;-0.854596;14.0398
100.0;0.610426;51.51996
100.0;0.488341;31.253815
100.0;-1.465023;41.020632
100.0;0.732511;46.148211
100.0;0.0;37.968501
100.0;0.0;46.880722
100.0;0.976682;17.824441
100.0;-1.220852;45.90404
100.0;0.122085;21.364912
100.0;1.709193;36.381394
100.0;0.732511;22.219509
100.0;1.709193;41.020632
100.0;-1.709193;24.417043
100.0;-0.366256;41.997313
100.0;0.732511;16.847759
100.0;0.854596;52.008301
100.0;0.854596;47.491148
100.0;-2.930045;37.602246
100.0;1.465023;50.421193
100.0;0.0;40.776461
100.0;-0.610426;47.124892
100.0;-0.488341;42.729825
100.0;0.610426;56.281283
100.0;-0.488341;36.625564
100.0;0.732511;37.846416
100.0;1.220852;30.277133
100.0;0.0;39.555609
100.0;-0.122085;24.294958
100.0;-0.854596;38.578928
100.0;-0.366256;16.115248
100.0;0.610426;43.218166
100.0;-0.122085;31.009644
100.0;-0.366256;41.386887
100.0;-0.488341;31.131729
100.0;1.587108;49.200341
100.0;-0.732511;40.04395
100.0;-0.488341;32.963008
100.0;-1.831278;50.787449
100.0;-1.098767;29.788792
100.0;-0.122085;29.788792
100.0;0.122085;31.864241
100.0;0.488341;44.194847
100.0;0.854596;20.021975
100.0;-0.610426;43.584421
100.0;-0.488341;22.70785
100.0;-0.488341;30.399218
100.0;0.24417;26.126236
100.0;-0.854596;38.945183
100.0;0.122085;25.149554
100.0;-0.122085;43.584421
100.0;-0.24417;54.08375
100.0;0.24417;36.625564
100.0;0.732511;19.167379
100.0;-0.732511;38.090587
100.0;0.24417;28.201684
100.0;-0.488341;47.124892
100.0;2.685875;38.212672
100.0;0.488341;40.654376
100.0;0.366256;46.270296
100.0;-0.488341;39.067268
100.0;-1.098767;38.823098
100.0;-0.854596;32.474667
100.0;0.0;42.241484
100.0;0.976682;34.42803
100.0;0.24417;36.381394
100.0;0.122085;24.417043
100.0;-0.488341;37.724331
100.0;-0.24417;19.89989
100.0;0.488341;40.654376
100.0;0.976682;19.045293
100.0;-1.342937;43.09608
100.0;-0.854596;42.60774
100.0;-0.366256;35.038456
100.0;-1.220852;44.805273
100.0;-1.831278;45.415699
100.0;-0.610426;50.299108
100.0;0.488341;28.079599
100.0;-1.587108;34.061775
100.0;-0.854596;30.521303
100.0;-0.488341;39.79978
100.0;0.0;22.70785
100.0;0.0;40.776461
100.0;0.610426;26.858747
100.0;-1.098767;45.293614
100.0;0.122085;30.155048
100.0;-0.122085;48.101574
100.0;-0.24417;52.374557
100.0;-0.24417;33.207178
100.0;1.587108;48.834085
100.0;-0.122085;40.166035
100.0;-0.976682;37.968501
100.0;-0.610426;37.23599
100.0;-0.976682;40.288121
100.0;1.831278;18.679038
100.0;0.976682;44.194847
100.0;-0.366256;23.074105
100.0;-1.831278;51.397875
100.0;0.610426;35.038456
100.0;0.0;36.259308
100.0;-0.732511;52.252471
100.0;0.122085;31.009644
100.0;0.610426;42.729825
100.0;1.709193;31.253815
100.0;-0.24417;47.491148
100.0;0.488341;28.934196
100.0;0.0;41.997313
100.0;0.488341;23.562446
100.0;-0.366256;39.555609
100.0;-0.488341;35.160542
100.0;1.342937;43.218166
100.0;0.854596;46.148211
100.0;-0.732511;32.596752
100.0;0.854596;42.973995
100.0;-0.24417;28.32377
100.0;-0.854596;44.316933
100.0;-0.122085;22.95202
100.0;-1.220852;31.62007
100.0;-1.587108;20.632401
100.0;-1.220852;42.485654
100.0;0.976682;20.510316
100.0;-1.587108;39.067268
100.0;0.24417;21.364912
