Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
REF;100;40.166035;0.366259;0
REF;100;37.846416;0.488329;0
REF;100;20.632401;-0.854588;0
REF;100;12.818947;-0.488353;0
REF;100;71.786106;-0.122118;0
REF;100;20.14406;1.220822;0
REF;100;3.296301;0.366282;0
REF;100;63.728482;-0.976729;0
REF;100;36.015138;0.4884;0
REF;100;18.068612;0.976658;0
REF;100;30.032963;0.244164;0
REF;100;44.194849;-0.488329;0
REF;100;15.626907;-0.366235;0
REF;100;69.466487;-0.488329;0
REF;100;23.074105;0;0
REF;100;44.439018;-0.610399;0
REF;100;62.26346;-0.976682;0
REF;100;11.598095;-0.244164;0
REF;100;14.52814;0.610399;0
REF;100;10.010988;0.366211;0
REF;100;37.968501;0.488281;0
REF;100;52.374557;-1.342916;0
REF;100;71.419851;0.366306;0
REF;100;27.469173;4.77E-05;0
REF;100;37.968501;0.488281;0
REF;100;16.725674;-0.732493;0
REF;100;30.032963;0.244212;0
REF;100;25.51581;-0.244188;0
REF;100;50.54328;-1.831269;0
REF;100;79.11122;-0.244141;0
REF;100;60.310096;0.732517;0
REF;100;32.352582;0.366259;0
REF;100;70.076914;0.244164;0
REF;100;33.939689;1.220798;0
REF;100;20.754486;1.953292;0
REF;100;47.246978;-0.976682;0
REF;100;76.181175;0.732422;0
REF;100;54.450007;-0.854564;0
REF;100;45.537785;-0.244188;0
REF;100;43.218166;-0.488281;0
REF;100;60.432182;0;0
REF;100;25.393724;-1.342916;0
REF;100;42.973995;-0.610399;0
REF;100;39.79978;-0.854635;0
REF;100;65.07142;1.098728;0
REF;100;85.825907;-2.38E-05;0
REF;100;56.037113;1.098704;0
REF;100;44.927359;0.244141;0
REF;100;75.692834;0.610375;0
REF;100;48.956171;-1.34294;0
REF;100;39.067268;0.122094;0
REF;100;36.137225;0;0
REF;100;30.643389;1.098728;0
REF;100;39.067268;-0.488305;0
REF;100;52.618729;-0.610447;0
REF;100;58.356735;0.366211;0
REF;100;37.968501;-0.610423;0
REF;100;50.421193;-0.488353;0
REF;100;60.432182;-0.610352;0
REF;100;26.858747;-0.244212;0
REF;100;36.869735;-0.610447;0
REF;100;21.120742;-1.465034;0
REF;100;22.341594;0.4884;0
REF;100;60.798439;0.488329;0
REF;100;48.345745;0.12207;0
REF;100;29.422536;-0.976706;0
REF;100;13.795629;0.12207;0
REF;100;47.979489;2.19748;0
REF;100;8.912221;-0.244212;0
REF;100;38.701013;0.122118;0
REF;100;47.979489;-0.366259;0
REF;100;51.031619;-2.38E-05;0
REF;100;18.190697;0.976682;0
REF;100;78.86705;-0.244188;0
REF;100;28.445855;-0.488353;0
REF;100;52.984983;-0.854611;0
REF;100;21.364912;-0.244212;0
REF;100;36.381394;0.488281;0
REF;100;29.300451;-0.4884;0
REF;100;47.979489;0.488353;0
REF;100;0.854596;0.366259;0
REF;100;48.589917;0.854588;0
REF;100;34.550115;0.732493;0
REF;100;46.148211;0.732493;0
REF;100;69.95483;0.976682;0
REF;100;59.943841;-1.098776;0
REF;100;40.04395;-0.12207;0
REF;100;70.931511;0.12207;0
REF;100;61.042607;-1.220846;0
REF;100;55.060433;0.366211;0
REF;100;25.882065;-1.464987;0
REF;100;22.219509;0.610399;0
REF;100;39.555609;0.244164;0
REF;100;6.226346;-0.976682;0
REF;100;52.984983;-0.854611;0
REF;100;57.868393;-0.244188;0
REF;100;39.311439;0.366259;0
REF;100;22.70785;0.488329;0
REF;100;41.875228;-2.38E-05;0
REF;100;43.218166;-0.244212;0
REF;100;31.620072;-0.732541;0
REF;100;22.463679;-0.366282;0
REF;100;64.949335;-0.244164;0
REF;100;21.364912;0.976706;0
REF;100;48.589915;-0.488329;0
REF;100;38.456842;-0.122094;0
REF;100;70.076914;0.732493;0
REF;100;36.015138;-0.610447;0
REF;100;20.510316;0.122094;0
REF;100;39.311439;-0.732493;0
REF;100;56.525455;0.366259;0
REF;100;21.242827;0.73247;0
REF;100;33.207178;-0.976682;0
REF;100;34.916371;0;0
REF;100;21.975338;-0.488305;0
REF;100;69.222318;-0.488353;0
REF;100;36.503479;0.854588;0
REF;100;24.905384;-0.732493;0
REF;100;3.662556;-0.97661;0
REF;100;13.795629;0.244212;0
REF;100;33.207178;-1.34294;0
REF;100;42.241484;0.366259;0
REF;100;86.192164;0.854564;0
REF;100;63.850567;1.098776;0
REF;100;28.32377;-1.709175;0
REF;100;79.965816;-0.244164;0
REF;100;51.764131;0.976706;0
REF;100;67.879379;-0.488329;0
REF;100;39.067268;0.122094;0
REF;100;31.62007;0.610423;0
REF;100;28.81211;1.098704;0
REF;100;47.124892;-0.122094;0
REF;100;38.212673;-0.610399;0
REF;100;45.781955;-0.610399;0
REF;100;68.489806;0.244212;0
REF;100;33.451349;0.488353;0
REF;100;25.393724;0.244141;0
REF;100;65.315591;-1.220822;0
REF;100;40.410206;0.366282;0
REF;100;35.893053;0.366282;0
REF;100;79.233305;0.854588;0
REF;100;31.3759;0.854564;0
REF;100;13.917714;7.15E-05;0
REF;100;35.404712;0.732517;0
REF;100;47.124892;-0.122023;0
REF;100;70.809425;1.22087;0
REF;100;36.747649;0.366235;0
REF;100;48.46783;-1.953363;0
REF;100;68.611892;-0.122094;0
REF;100;46.758637;0;0
REF;100;28.934196;0.244188;0
REF;100;67.87938;-0.122046;0
REF;100;23.318276;0.244188;0
REF;100;56.525455;0.366282;0
REF;100;58.722988;1.220846;0
REF;100;66.414358;-0.244164;0
REF;100;45.293614;0.854611;0
REF;100;32.596752;0.366306;0
REF;100;27.225003;0.488353;0
REF;100;62.385546;0.488281;0
REF;100;80.576243;-1.464987;0
REF;100;17.702356;-0.122046;0
REF;100;73.373213;-0.85454;0
REF;100;42.241484;0.488329;0
REF;100;37.358075;-0.854588;0
REF;100;70.076914;-0.244164;0
REF;100;82.529606;1.831293;0
REF;100;16.115248;-0.366259;0
REF;100;26.980832;-0.610399;0
REF;100;45.293614;-0.610471;0
REF;100;25.51581;-0.244164;0
REF;100;17.3361;0.976658;0
REF;100;41.508973;0.488353;0
REF;100;48.589915;-0.488353;0
REF;100;51.27579;-0.244212;0
REF;100;87.5351;-0.854611;0
REF;100;27.713344;0.976634;0
REF;100;34.672201;0.976634;0
REF;100;3.540471;0.610447;0
REF;100;22.70785;-0.244236;0
REF;100;34.305945;-0.366235;0
REF;100;29.422536;0.610423;0
REF;100;39.433524;-0.732493;0
REF;100;27.835429;0;0
REF;100;22.463679;-0.610399;0
REF;100;82.895863;0.122142;0
REF;100;27.835429;-0.122142;0
REF;100;59.821755;0.732517;0
REF;100;62.507629;-0.244188;0
REF;100;42.363569;0;0
REF;100;30.155048;-0.488305;0
REF;100;55.182517;0.488353;0
REF;100;21.609083;0.854564;0
REF;100;46.758637;0.366259;0
REF;100;23.440361;0.366211;0
REF;100;59.21133;0.732541;0
REF;100;43.340251;-1.342988;0
REF;100;20.632401;0.366259;0
REF;100;36.381394;0.366235;0
REF;100;51.764132;-0.122142;0
REF;100;67.146868;-1.098847;0
REF;100;71.053596;1.0988;0
REF;100;39.921865;0.610423;0
REF;100;50.665364;0;0
REF;100;17.824441;0.244164;0
REF;100;34.794286;0.488329;0
REF;100;44.561104;0;0
REF;100;68.123551;-0.854611;0
REF;100;34.305945;0.36633;0
REF;100;45.049444;0.244141;0
REF;100;55.915028;1.098752;0
REF;100;31.986326;0.366259;0
REF;100;73.25113;-0.976706;0
REF;100;46.758637;-1.587033;0
REF;100;51.397875;0.122046;0
REF;100;35.770968;0.488329;0
REF;100;33.207178;2.07541;0
REF;100;34.18386;0.12207;0
REF;100;60.432181;0.85454;0
REF;100;41.631058;0.854635;0
REF;100;46.514466;-1.098752;0
REF;100;67.024784;-0.854588;0
REF;100;43.09608;-0.244236;0
REF;100;93.028936;0.73247;0
REF;100;71.541937;-0.122094;0
REF;100;52.252471;1.465011;0
REF;100;70.076914;-1.098824;0
REF;100;54.938346;2.38E-05;0
REF;100;44.561103;-0.610399;0
REF;100;38.823098;0.244117;0
REF;100;36.015138;0.854588;0
REF;100;53.107068;0.73247;0
REF;100;38.823098;-0.244164;0
REF;100;38.456842;-0.12207;0
REF;100;21.853253;2.075434;0
REF;100;14.0398;-0.488281;0
REF;100;42.241484;-0.488281;0
REF;100;115.736784;-0.610423;0
REF;100;71.053596;0.244188;0
REF;100;49.688682;0.244141;0
REF;100;18.556952;-0.854564;0
REF;100;67.268954;-0.732493;0
REF;100;37.23599;-0.244164;0
REF;100;55.182518;0.488329;0
REF;100;56.769624;-0.610423;0
REF;100;38.334757;-0.122118;0
REF;100;60.554267;0.976682;0
REF;100;53.595409;1.220894;0
REF;100;75.204493;-0.244164;0
REF;100;36.015138;-0.73247;0
REF;100;16.847759;0.610423;0
REF;100;33.817604;-1.098752;0
REF;100;50.177023;0.610447;0
REF;100;52.252473;-0.73247;0
REF;100;49.444512;0.12207;0
REF;100;40.654376;-0.854564;0
REF;100;62.873887;-0.488329;0
REF;100;60.676351;-0.488377;0
REF;100;37.113905;1.587057;0
REF;100;47.002807;1.342988;0
REF;100;31.497985;0.976658;0
REF;100;33.695519;0.122094;0
REF;100;36.381395;-0.732517;0
REF;100;46.026126;1.220798;0
REF;100;45.049444;0.976634;0
REF;100;78.500794;-0.610447;0
REF;100;43.828592;-1.098728;0
REF;100;47.735319;1.098728;0
REF;100;14.161885;-0.732493;0
REF;100;44.683188;1.098728;0
REF;100;20.632401;1.220798;0
REF;100;47.002807;-7.15E-05;0
REF;100;45.049444;-0.244212;0
REF;100;113.539252;-0.244141;0
REF;100;67.757294;-0.12207;0
REF;100;16.115248;-1.220822;0
REF;100;59.21133;-0.610423;0
REF;100;52.862899;0.854635;0
REF;100;50.177023;-0.488329;0
REF;100;41.508973;-0.488329;0
REF;100;36.99182;0.488329;0
REF;100;47.246978;-1.342869;0
REF;100;0.24417;0.4884;0
REF;100;44.194847;0.488281;0
REF;100;-0.122085;-1.220846;0
REF;100;47.124892;0.488329;0
REF;100;27.469173;-0.854588;0
REF;100;2.930045;-0.122094;0
REF;100;33.085093;0.366282;0
REF;100;36.381394;0.488329;0
REF;100;29.056281;0.732517;0
REF;100;37.968501;-0.85454;0
REF;100;40.166037;0.610423;0
REF;100;59.943841;0.122046;0
REF;100;37.968501;-0.244188;0
REF;100;40.166035;0.73247;0
REF;100;61.897205;-0.122118;0
REF;100;61.653034;0.732517;0
REF;100;50.054938;0.366282;0
REF;100;39.311439;-2.38E-05;0
REF;100;55.426687;-4.77E-05;0
REF;100;57.746306;-4.77E-05;0
REF;100;36.015138;-0.976706;0
REF;100;30.399218;-0.488329;0
REF;100;49.200341;-0.610423;0
REF;100;4.639238;-0.854611;0
REF;100;87.901355;-0.610423;0
REF;100;41.508973;-0.610423;0
REF;100;37.846416;0.244164;0
REF;100;-4.028812;0.366211;0
REF;100;37.480161;0.610423;0
REF;100;54.938346;0.610399;0
REF;100;67.024784;-0.976682;0
REF;100;14.28397;0.122046;0
REF;100;36.625564;0.732541;0
REF;100;53.839579;0.488281;0
REF;100;40.288121;0.854564;0
REF;100;43.09608;-0.12207;0
REF;100;7.935539;0.732493;0
REF;100;47.735319;-0.244141;0
REF;100;25.637895;-1.220894;0
REF;100;79.721648;-0.732517;0
REF;100;31.864241;-0.366282;0
