Frequency (GHz);LG (mV);HG (mV)
100.0;-1.587108;36.625564
100.0;-0.976682;47.124892
100.0;0.732511;44.561103
100.0;-0.366256;31.986326
100.0;0.122085;46.026126
100.0;-1.342937;31.253815
100.0;0.610426;47.857404
100.0;0.24417;25.637895
100.0;0.366256;38.334757
100.0;0.610426;25.637895
100.0;-2.075449;53.839579
100.0;2.197534;52.008301
100.0;0.0;45.171529
100.0;-0.122085;22.341594
100.0;-0.488341;37.724331
100.0;0.854596;22.585765
100.0;1.465023;42.241484
100.0;0.122085;17.09193
100.0;0.122085;44.683188
100.0;0.24417;20.266145
100.0;-0.854596;41.508973
100.0;0.732511;43.584421
100.0;0.610426;21.364912
100.0;0.732511;41.997313
100.0;0.488341;26.614577
100.0;-0.610426;40.410206
100.0;0.366256;41.508973
100.0;0.976682;28.079599
100.0;-0.366256;49.200341
100.0;0.366256;36.869735
100.0;-0.24417;41.142717
100.0;0.488341;28.201684
100.0;0.488341;47.491148
100.0;0.610426;24.417043
100.0;-0.24417;47.491148
100.0;-0.854596;34.18386
100.0;1.098767;44.194847
100.0;-0.732511;49.566597
100.0;0.122085;27.591258
100.0;-0.24417;46.636552
100.0;0.0;26.248321
100.0;0.732511;40.532291
100.0;0.854596;23.562446
100.0;0.854596;39.067268
100.0;-0.732511;24.294958
100.0;0.0;47.491148
100.0;-0.488341;23.562446
100.0;0.976682;49.078256
100.0;-0.122085;42.241484
100.0;1.220852;18.434867
100.0;0.366256;33.451349
100.0;0.0;41.508973
100.0;-0.488341;50.665364
100.0;1.709193;44.072762
100.0;-0.366256;37.358075
100.0;0.854596;48.101574
100.0;0.610426;44.072762
100.0;1.098767;44.316933
100.0;-0.122085;32.963008
100.0;-1.709193;42.241484
100.0;1.342937;48.46783
100.0;0.24417;46.636552
100.0;-0.122085;27.713344
100.0;-0.122085;34.18386
100.0;-1.587108;28.201684
100.0;-1.220852;27.591258
100.0;-1.831278;29.910877
100.0;-0.366256;13.795629
100.0;0.732511;43.218166
100.0;0.24417;40.776461
100.0;-0.610426;21.853253
100.0;0.610426;42.60774
100.0;-0.366256;26.736662
100.0;0.24417;36.137223
100.0;-1.709193;13.795629
100.0;0.610426;47.613233
100.0;0.488341;46.636552
100.0;0.854596;24.417043
100.0;-0.122085;44.072762
100.0;0.610426;28.079599
100.0;0.24417;52.008301
100.0;0.0;35.282627
100.0;0.732511;41.997313
100.0;0.488341;35.160542
100.0;1.220852;40.532291
100.0;1.098767;38.701013
100.0;1.220852;33.451349
100.0;0.610426;47.613233
100.0;0.854596;19.533634
100.0;0.854596;46.270296
100.0;0.854596;35.404712
100.0;0.0;51.27579
100.0;0.366256;48.712
100.0;-1.465023;30.643389
100.0;-0.24417;49.810767
100.0;0.976682;31.497985
100.0;-0.24417;44.194847
100.0;-0.854596;35.648882
100.0;0.0;45.90404
100.0;-0.732511;35.404712
100.0;1.587108;50.543278
100.0;0.122085;19.533634
100.0;-1.098767;48.101574
100.0;0.732511;23.684531
100.0;0.854596;45.65987
100.0;-0.122085;37.846416
100.0;1.709193;43.584421
100.0;0.122085;35.282627
100.0;2.441704;54.32792
100.0;-0.488341;43.828592
100.0;0.0;22.829935
100.0;-1.831278;48.712
100.0;0.0;48.712
100.0;0.122085;27.713344
100.0;-0.24417;46.148211
100.0;0.122085;27.225003
100.0;0.122085;51.886216
100.0;1.220852;20.754486
100.0;-1.587108;33.939689
100.0;-0.24417;23.440361
100.0;0.854596;35.038456
100.0;-0.488341;22.341594
100.0;-0.488341;43.706506
100.0;0.488341;29.056281
100.0;-0.488341;47.246978
100.0;0.122085;28.079599
100.0;1.098767;44.316933
100.0;0.854596;46.514466
100.0;1.953363;26.492491
100.0;-0.366256;36.137223
100.0;-0.366256;27.591258
100.0;-0.854596;48.101574
100.0;-1.098767;33.695519
100.0;-0.610426;40.410206
100.0;0.24417;41.386887
100.0;1.220852;47.613233
100.0;0.0;40.166035
100.0;-1.709193;46.880722
100.0;1.587108;46.758637
100.0;-1.342937;41.264802
100.0;-0.24417;38.334757
100.0;0.610426;43.950677
100.0;-0.488341;35.282627
100.0;0.854596;37.23599
100.0;0.610426;23.318276
100.0;0.122085;44.927359
100.0;-0.122085;26.248321
100.0;0.0;44.683188
100.0;0.122085;32.352582
100.0;1.831278;35.648882
100.0;0.366256;46.514466
100.0;0.122085;44.316933
100.0;0.0;46.514466
100.0;0.732511;40.776461
100.0;-0.24417;50.543278
100.0;-0.976682;37.480161
100.0;-0.122085;31.3759
100.0;0.488341;50.543278
100.0;-0.610426;20.998657
100.0;-0.24417;32.718837
100.0;-0.732511;41.386887
100.0;0.610426;31.253815
100.0;1.342937;37.480161
100.0;-1.587108;42.485654
100.0;0.366256;23.928702
100.0;-0.976682;41.508973
100.0;0.366256;26.614577
100.0;-0.366256;44.927359
100.0;-1.465023;19.777805
100.0;-1.587108;40.654376
100.0;0.976682;23.196191
100.0;-0.24417;42.119399
100.0;0.488341;42.60774
100.0;0.976682;48.223659
100.0;2.319619;36.625564
100.0;2.075449;40.654376
100.0;-0.122085;38.578928
100.0;0.488341;39.311439
100.0;-0.122085;28.445855
100.0;-0.24417;32.718837
100.0;0.610426;24.661213
100.0;0.366256;40.288121
100.0;0.610426;28.56794
100.0;3.174216;43.218166
100.0;0.24417;16.603589
100.0;0.0;42.363569
100.0;0.24417;18.556952
100.0;-0.488341;45.65987
100.0;-0.366256;24.539128
100.0;-1.831278;52.618727
100.0;-0.610426;33.695519
100.0;-0.854596;47.246978
100.0;0.610426;32.474667
100.0;0.610426;39.921865
100.0;0.24417;46.636552
100.0;0.610426;40.288121
100.0;-0.24417;44.927359
100.0;0.488341;39.79978
100.0;-0.854596;35.160542
100.0;1.098767;32.474667
100.0;1.098767;30.399218
100.0;-1.098767;27.835429
100.0;-0.488341;41.631058
100.0;1.098767;26.736662
100.0;-0.122085;35.038456
100.0;0.732511;24.661213
100.0;-0.976682;43.09608
100.0;-0.24417;8.179709
100.0;-0.366256;53.351238
100.0;-0.366256;50.543278
100.0;0.0;27.469173
100.0;-0.24417;50.054938
100.0;0.488341;37.724331
100.0;1.098767;46.880722
100.0;0.976682;35.404712
100.0;-0.24417;43.462336
100.0;0.0;25.75998
100.0;-0.976682;40.288121
100.0;0.488341;33.329263
100.0;0.976682;49.932852
100.0;0.488341;31.742156
100.0;1.465023;43.584421
100.0;-2.197534;35.770968
100.0;0.732511;42.60774
100.0;-0.122085;44.194847
100.0;-0.24417;28.934196
100.0;-1.342937;44.072762
100.0;0.122085;27.713344
100.0;-1.709193;42.363569
100.0;0.122085;29.056281
100.0;0.854596;39.433524
100.0;1.220852;35.770968
100.0;0.122085;38.090587
100.0;0.0;39.921865
100.0;0.976682;44.805273
100.0;0.488341;51.031619
100.0;0.976682;26.980832
100.0;1.098767;50.054938
100.0;-0.24417;35.893053
100.0;0.610426;36.015138
100.0;-0.24417;21.853253
100.0;0.976682;32.963008
100.0;0.854596;21.120742
100.0;-1.465023;46.270296
100.0;0.488341;37.358075
100.0;0.24417;38.701013
100.0;-1.342937;46.514466
100.0;-1.953363;35.893053
100.0;0.732511;41.997313
100.0;-0.366256;23.318276
100.0;0.854596;39.433524
100.0;0.0;17.3361
100.0;-0.610426;45.049444
100.0;-0.122085;23.562446
100.0;-1.220852;42.973995
100.0;-1.220852;33.207178
100.0;-0.854596;34.18386
100.0;0.366256;56.403369
100.0;0.366256;43.828592
