Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
H1;100;59.577584;-0.366235;0.07
H1;100;58.967158;0.73247;0.07
H1;100;105.725798;-0.732493;0.07
H1;100;67.635208;-0.732493;0.07
H1;100;62.019289;-0.854588;0.07
H1;100;69.100231;-0.610399;0.07
H1;100;55.548772;-0.366235;0.07
H1;100;102.673668;-0.366187;0.07
H1;100;74.716152;0.73247;0.07
H1;100;80.332072;-1.342893;0.07
H1;100;51.764131;0.488329;0.07
H1;100;88.267611;-1.587081;0.07
H1;100;101.574901;0.610423;0.07
H1;100;74.716154;1.34294;0.07
H1;100;106.092054;-0.366282;0.07
H1;100;64.82725;-0.85454;0.07
H1;100;74.349895;0.366282;0.07
H1;100;81.919183;0.122118;0.07
H1;100;54.205835;-0.244117;0.07
H1;100;26.126236;0.732517;0.07
H1;100;76.181176;2.38E-05;0.07
H1;100;107.679163;-0.12207;0.07
H1;100;134.904164;0.732493;0.07
H1;100;58.356732;-0.122094;0.07
H1;100;31.375901;0.12207;0.07
H1;100;54.694177;0.610375;0.07
H1;100;75.692835;-0.366259;0.07
H1;100;51.886216;-0.122118;0.07
H1;100;101.208644;-0.488353;0.07
H1;100;68.733977;0.244188;0.07
H1;100;65.559761;1.709199;0.07
H1;100;45.781955;-1.0988;0.07
H1;100;53.961667;0.366259;0.07
H1;100;81.430839;0.122118;0.07
H1;100;76.791604;0.122094;0.07
H1;100;90.343061;0;0.07
H1;100;28.934197;-0.976682;0.07
H1;100;103.284092;0.488305;0.07
H1;100;27.225003;-0.732541;0.07
H1;100;76.913686;0.366211;0.07
H1;100;52.496642;0.610447;0.07
H1;100;9.156391;0.366282;0.07
H1;100;32.840924;1.098728;0.07
H1;100;151.263586;0.366211;0.07
H1;100;40.776461;-0.122094;0.07
H1;100;-4.028812;0.366211;0.07
H1;100;94.616042;0.366306;0.07
H1;100;69.466488;-0.732541;0.07
H1;100;71.17568;-0.976706;0.07
H1;100;41.753145;-0.122094;0.07
H1;100;31.864241;0.244141;0.07
H1;100;42.485654;-0.122118;0.07
H1;100;61.530948;0.244141;0.07
H1;100;60.798438;-0.488353;0.07
H1;100;59.577586;-0.244188;0.07
H1;100;57.990476;0.488329;0.07
H1;100;6.470516;-2.38E-05;0.07
H1;100;101.086558;0.366259;0.07
H1;100;92.174338;0.610423;0.07
H1;100;45.90404;-0.73247;0.07
H1;100;99.011111;-1.953363;0.07
H1;100;41.997315;-0.732541;0.07
H1;100;30.155048;0.73247;0.07
H1;100;77.402025;0.366282;0.07
H1;100;93.273106;-0.488305;0.07
H1;100;92.418513;0.244188;0.07
H1;100;77.890368;-0.854588;0.07
H1;100;24.783298;0.366282;0.07
H1;100;36.99182;0.610399;0.07
H1;100;64.216822;0.244164;0.07
H1;100;68.856063;-2.38E-05;0.07
H1;100;106.824565;2.07541;0.07
H1;100;61.530948;0.976706;0.07
H1;100;96.569404;0.732446;0.07
H1;100;90.953484;-1.709151;0.07
H1;100;41.997313;-0.244164;0.07
H1;100;26.614577;0.366259;0.07
H1;100;34.794286;-0.488353;0.07
H1;100;56.037115;-0.366282;0.07
H1;100;43.950678;-0.244236;0.07
H1;100;66.292271;0.610423;0.07
H1;100;80.454159;-0.366282;0.07
H1;100;76.547432;0.122094;0.07
H1;100;77.524114;-0.976706;0.07
H1;100;23.684531;0.488353;0.07
H1;100;103.284095;0.976706;0.07
H1;100;21.609083;1.098728;0.07
H1;100;48.467831;-0.610399;0.07
H1;100;82.651691;-1.464987;0.07
H1;100;72.640704;-0.610399;0.07
H1;100;58.478819;-2.38E-05;0.07
H1;100;77.768284;0.976658;0.07
H1;100;86.680502;1.953316;0.07
H1;100;57.502136;1.098728;0.07
H1;100;29.422536;0.366211;0.07
H1;100;71.908192;0.366306;0.07
H1;100;94.860211;0.732446;0.07
H1;100;81.064582;-0.244188;0.07
H1;100;51.886216;0.244164;0.07
H1;100;33.817604;-0.732517;0.07
H1;100;76.913688;0.366187;0.07
H1;100;99.377367;0.366282;0.07
H1;100;66.414358;-0.85454;0.07
H1;100;85.093397;0.976682;0.07
H1;100;47.491148;-0.122023;0.07
H1;100;65.315589;0.122046;0.07
H1;100;41.87523;0.732493;0.07
H1;100;61.286777;0.366306;0.07
H1;100;94.249786;0.366235;0.07
H1;100;85.093395;0.366306;0.07
H1;100;116.957638;0.366259;0.07
H1;100;52.130388;0.366259;0.07
H1;100;72.396533;-0.122118;0.07
H1;100;69.344403;0.122118;0.07
H1;100;33.695519;0.122094;0.07
H1;100;38.823098;-0.85454;0.07
H1;100;44.194847;0.976682;0.07
H1;100;81.064585;0;0.07
H1;100;50.665365;0.73247;0.07
